Alexa Rank,Brand count,Domain,Known TLD,Label,Num Subdomains,Path,Protocol,URL Length
2,1,www.searchsummit.com,1,0,0,/,http,0
1,1,www.searchenginewiz.com,1,0,0,/,http,0
1,1,www.slickwebz.com,1,0,0,/,http,0
1,1,www.searchenginetechnologies.com,1,0,0,/,http,0
2,1,www.seoanalysis.com,1,0,0,/,http,0
2,1,www.stepforth.com,1,0,0,,http,0
1,1,www.searchenginepatrol.com,1,0,0,/,http,0
1,1,www.searchanalysts.com,1,0,0,/,http,0
2,1,www.sitesolutions.com,1,0,0,/,http,0
2,1,www.stickyeyes.com,1,0,0,/,http,0
1,1,www.skipechert.com,1,0,0,/,http,0
1,1,www.sitepropel.com,1,0,0,/,http,0
0,1,www.searchenginepeople.com,1,0,0,/,http,0
1,1,www.submit-away.com,1,0,0,/,http,0
2,1,www.submitawebsite.com,1,0,0,/,http,0
1,1,www.superwebsitepromotion.com,1,0,0,/,http,0
2,1,www.successpromotions.com,1,0,0,/,http,0
1,1,www.siteblaster.co.uk,0,0,2,/,http,0
2,1,www.searchinnovation.com,1,0,0,/,http,0
2,1,www.submittoday.com,1,0,0,/,http,0
1,1,www.searchmar.com,1,0,0,/,http,0
2,1,www.seoinc.com,1,0,0,/,http,0
2,1,www.foryoursoft.com,1,0,0,/hypercalendar/,http,0
2,1,www.mdesoft.com,1,0,0,/home_eng.htm,http,0
2,1,contactplus.com,1,0,0,/products/freestuff/task.htm,http,0
2,1,www.cotton100.com,1,0,0,/,http,0
1,1,www.inklineglobal.org,1,0,0,/products/vdp/,http,0
1,1,www.sharewaresolutions.com,1,0,0,/html/calendar.html,http,0
1,1,www.amfsoftware.com,1,0,0,/windows/amfpim.html,http,0
1,1,www.idealcs.com,1,0,0,/calendar/,http,0
2,1,www.zabaware.com,1,0,0,/assistant/index.html,http,0
1,1,compunac.homestead.com,1,0,0,/index.html,http,0
1,1,www.calendarmine.com,1,0,0,/,http,0
1,1,www.hammersoftware.com,1,0,0,/calendar.html,http,0
2,1,www.calendarscope.com,1,0,0,/,http,0
1,1,www.zb2000.com,1,0,0,/acecalendar.htm,http,0
2,1,www.daansystems.com,1,0,0,/daancalendar/,http,0
1,1,hotshift.tripod.com,1,0,0,/,http,0
1,1,www.twesley.com,1,0,0,/~shiftcal/,http,0
1,1,www.naturcalendar.com,1,0,0,/,http,0
1,1,www.calnique.com,1,0,0,/,http,0
1,1,www.wallpaper-calendar.com,1,0,0,/,http,0
1,1,www.vaxtech.com,1,0,0,/birthday-reminder.htm,http,0
1,1,www.srosoftware.com,1,0,0,/sro_bc.htm,http,0
1,1,www.cm-soft.net,1,0,0,/index1.html,http,0
1,1,www.ecrew.org,1,0,0,/,http,0
2,1,www.softshape.com,1,0,0,/cham/,http,0
2,1,www.dummysoftware.com,1,0,0,/clockdummy.html,http,0
2,1,www.cheqsoft.com,1,0,0,/timesown.html,http,0
1,1,www.uk-software.com,1,0,0,/speakingclock.htm,http,0
1,1,www.dillobits.com,1,0,0,/,http,0
2,1,www.altrixsoft.com,1,0,0,,http,0
2,1,ourworld.compuserve.com,1,0,0,/homepages/anithmi/cyclocke.htm,http,2
1,1,www.atomtime.com,1,0,0,/,http,0
2,1,www.mtnsys.com,1,0,0,/pages/atomicclock.htm,http,0
2,1,www.paraben.com,1,0,0,/html/clock2.html,http,0
0,1,www.kaska.demon.co.uk,0,0,1,/,http,0
2,1,www.nestersoft.com,1,0,0,/timeleft/,http,0
2,1,www.chemware.co.nz,0,0,1,/tic.htm,http,0
1,1,www.blueprintsoftwareworks.com,1,0,0,/atomsync/,http,0
1,1,www.hoursandminutes.com,1,0,0,/,http,0
1,1,www.hiclock.com,1,0,0,/,http,0
1,1,www.springcreeksoftware.com,1,0,0,/,http,0
2,1,timerecorder.51.net,1,0,0,/,http,0
1,1,www.rayslab.com,1,0,0,/atomic_clock/atomic_clock.html,http,0
2,1,www.info-pack.com,1,0,0,/datetray/,http,0
2,1,www.lux-aeterna.com,1,0,0,/clock/,http,0
2,1,www.enins.com,1,0,0,/timesled/,http,0
2,1,www.acutesoftware.com.au,0,0,1,/timer.html,http,0
1,1,www.timeutilites.com,1,0,0,/,http,0
1,1,www.nehuenmultimedia.com.ar,0,0,1,/html/atomic_clock.html,http,2
2,1,www.softdemon.com,1,0,0,/clock/,http,0
1,1,www.timezonesforpcs.com,1,0,0,/,http,0
2,1,www.xnotestopwatch.com,1,0,0,/,http,0
1,1,visualversion.com,1,0,0,/timebuddy/index.html,http,0
